mainaccord1,Gender,mainaccord5,Rating Count,all_notes,mainaccord2,embedding_text,Rating Value,Year,mainaccord4,Brand,embedding_id,Perfume,mainaccord3,t5_description,url
musky,unisex,warm spicy,485,"['lemon', 'calone', 'ginger', 'vodka', 'ambroxan', 'white musk']",fresh,"Accords: musky, fresh, citrus. Notes: lemon, calone, ginger, vodka, ambroxan, white musk. Profile: It smells like citrus peel and calone at first, then creamy vanilla and white musk, with a warm, slightly powdery base..","3,78",2023.0,vodka,by-kilian,5211,blue-moon-ginger-dash,citrus,"It smells like citrus peel and calone at first, then creamy vanilla and white musk, with a warm, slightly powdery base.",https://www.fragrantica.com/perfume/by-kilian/blue-moon-ginger-dash-79731.html
citrus,unisex,fruity,386,"['amalfi lemon', 'mandarin orange', 'watermelon', 'pear', 'lemon verbena', 'water lily', 'marigold', 'violet leaf', 'vetyver', 'virginia cedar', 'patchouli']",aquatic,"Accords: citrus, aquatic, ozonic. Notes: amalfi lemon, mandarin orange, watermelon, pear, lemon verbena, water lily, marigold, violet leaf. Profile: It smells like citrus peel and watermelon at first, then soft pear and white flowers, finishing with a warm, slightly powdery base..","3,78",2010.0,aromatic,calvin-klein,5212,ck-one-summer-2010,ozonic,"It smells like citrus peel and watermelon at first, then soft pear and white flowers, finishing with a warm, slightly powdery base.",https://www.fragrantica.com/perfume/calvin-klein/ck-one-summer-2010-7904.html
cherry,women,soft spicy,955,"['cherry', 'pink pepper', 'bergamot', 'violet', 'jasmine', 'freesia', 'tonka bean', 'amber', 'sandalwood', 'musk']",sweet,"Accords: cherry, sweet, amber. Notes: cherry, pink pepper, bergamot, violet, jasmine, freesia, tonka bean, amber. Profile: It smells like a spice market at dawn — sweet cherry and pepper mixed with white flowers, then soft vanilla and powdery wood..","3,78",2008.0,powdery,cartier,5213,delices-de-cartier-eau-de-parfum,amber,"It smells like a spice market at dawn — sweet cherry and pepper mixed with white flowers, then soft vanilla and powdery wood.",https://www.fragrantica.com/perfume/cartier/delices-de-cartier-eau-de-parfum-3233.html
warm spicy,unisex,oud,27,"['ginger', 'bergamot', 'sichuan pepper', 'cardamom', 'agarwood (oud)', 'saffron']",fresh spicy,"Accords: warm spicy, fresh spicy, citrus. Notes: ginger, bergamot, sichuan pepper, cardamom, agarwood (oud), saffron. Profile: It smells like a spice market at dawn — sweet ginger and pepper mixed with spicy cardamom, then softened by something earthy and slightly sweet..","3,78",2018.0,aromatic,clean,5214,hemp-ginger,citrus,"It smells like a spice market at dawn — sweet ginger and pepper mixed with spicy cardamom, then softened by something earthy and slightly sweet.",https://www.fragrantica.com/perfume/clean/hemp-ginger-55778.html
aquatic,women,powdery,96,"['water notes', 'bergamot', 'pear', 'water lily', 'jasmine', 'iris', 'musk', 'amber', 'sandalwood']",fresh,"Accords: aquatic, fresh, musky. Notes: water notes, bergamot, pear, water lily, jasmine, iris, musk, amber. Profile: It smells like a flower shop at dawn — sweet pear and white flowers mixed with powdery sandalwood, finishing with something earthy and slightly woody..","3,78",2022.0,floral,clean,5215,soft-laundry,musky,"It smells like a flower shop at dawn — sweet pear and white flowers mixed with powdery sandalwood, finishing with something earthy and slightly woody.",https://www.fragrantica.com/perfume/clean/soft-laundry-75629.html
white floral,women,amber,131,"['bergamot', 'italian jasmine', 'moroccan jasmine', 'galbanum', 'ambergris']",green,"Accords: white floral, green, citrus. Notes: bergamot, italian jasmine, moroccan jasmine, galbanum, ambergris. Profile: It smells like a perfumer's closet at dawn — bergamot and citrus peel mixed with powdery jasmine, then softens into something earthy and slightly sweet..","3,78",1959.0,aromatic,creed,5216,jasmal,citrus,"It smells like a perfumer's closet at dawn — bergamot and citrus peel mixed with powdery jasmine, then softens into something earthy and slightly sweet.",https://www.fragrantica.com/perfume/creed/jasmal-4260.html
white floral,unisex,vanilla,259,"['grapefruit', 'cabreuva', 'nerium oleander', 'white lily', 'whipped cream', 'egyptian jasmine', 'violet', 'watery notes', 'ambrette (musk mallow)', 'vanilla']",aquatic,"Accords: white floral, aquatic, floral. Notes: grapefruit, cabreuva, nerium oleander, white lily, whipped cream, egyptian jasmine, violet, watery notes. Profile: It smells like citrus peel and white flowers at first, then soft vanilla, with a powdery sweetness that's slightly sweet..","3,78",2016.0,sweet,ds-durga,5217,white-peacock-lily,floral,"It smells like citrus peel and white flowers at first, then soft vanilla, with a powdery sweetness that's slightly sweet.",https://www.fragrantica.com/perfume/ds-durga/white-peacock-lily-39838.html
woody,women,patchouli,264,"['mandarin orange', 'mastic or lentisque', 'woody notes', 'pistachio', 'jasmine', 'cedar', 'patchouli', 'amber']",citrus,"Accords: woody, citrus, balsamic. Notes: mandarin orange, mastic or lentisque, woody notes, pistachio, jasmine, cedar, patchouli, amber. Profile: It smells like orange peel and citrus peel at first, then woody moss and jasmine, with a warm, slightly powdery base..","3,78",2014.0,white floral,davidoff,5218,cool-water-night-dive-woman,balsamic,"It smells like orange peel and citrus peel at first, then woody moss and jasmine, with a warm, slightly powdery base.",https://www.fragrantica.com/perfume/davidoff/cool-water-night-dive-woman-25581.html
fruity,women,aromatic,32,"['watermelon', 'pineapple', 'peach', 'lemon', 'cassia', 'jasmine', 'lily', 'vetiver', 'rose', 'amber', 'sandalwood']",white floral,"Accords: fruity, white floral, sweet. Notes: watermelon, pineapple, peach, lemon, cassia, jasmine, lily, vetiver. Profile: It smells like sweet watermelon and citrus peel at first, then white flowers and vetiver, finishing with something earthy and slightly woody..","3,78",2005.0,ozonic,davidoff,5219,cool-water-sea-scent-and-sun,sweet,"It smells like sweet watermelon and citrus peel at first, then white flowers and vetiver, finishing with something earthy and slightly woody.",https://www.fragrantica.com/perfume/davidoff/cool-water-sea-scent-and-sun-1329.html
floral,women,aromatic,181,"['frangipani', 'pear', 'lime', 'sea notes', 'jasmine sambac', 'floral notes', 'woody notes', 'amber']",marine,"Accords: floral, marine, citrus. Notes: frangipani, pear, lime, sea notes, jasmine sambac, floral notes, woody notes, amber. Profile: It smells like fresh pear and lime at first, then smoky sandalwood and warm wood, with a soft, slightly earthy base..","3,78",2018.0,tropical,davidoff,5220,cool-water-woman-wave,citrus,"It smells like fresh pear and lime at first, then smoky sandalwood and warm wood, with a soft, slightly earthy base.",https://www.fragrantica.com/perfume/davidoff/cool-water-woman-wave-50290.html
white floral,women,fresh,25013,"['pear', 'melon', 'magnolia', 'peach', 'mandarin orange', 'bergamot', 'jasmine', 'lily-of-the-valley', 'tuberose', 'freesia', 'rose', 'orchid', 'plum', 'violet', 'musk', 'vanilla', 'blackberry', 'cedar']",floral,"Accords: white floral, floral, fruity. Notes: pear, melon, magnolia, peach, mandarin orange, bergamot, jasmine, lily-of-the-valley. Profile: It smells like sweet pear and peach at first, then melon and white flowers, with a hint of vanilla and powdery musk underneath..","3,78",1999.0,sweet,dior,5221,j-adore,fruity,"It smells like sweet pear and peach at first, then melon and white flowers, with a hint of vanilla and powdery musk underneath.",https://www.fragrantica.com/perfume/dior/j-adore-210.html
aromatic,men,green,3009,"['lavender', 'water notes', 'basil', 'geranium', 'marigold', 'tobacco', 'hay', 'clary sage', 'moepel accord', 'bran', 'sandalwood', 'cypress', 'musk', 'amber', 'labdanum']",fresh spicy,"Accords: aromatic, fresh spicy, herbal. Notes: lavender, water notes, basil, geranium, marigold, tobacco, hay, clary sage. Profile: It smells like a flower shop at dawn — lavender and lavender mixed with white flowers, then settles into something earthy and slightly powdery..","3,78",2014.0,lavender,dolce-gabbana,5222,dolce-gabbana-pour-homme-intenso,herbal,"It smells like a flower shop at dawn — lavender and lavender mixed with white flowers, then settles into something earthy and slightly powdery.",https://www.fragrantica.com/perfume/dolce-gabbana/dolce-gabbana-pour-homme-intenso-28935.html
white floral,women,powdery,1791,"['red apple', 'green notes', 'bergamot', 'lily', 'tuberose', 'rose', 'leather', 'musk', 'orris root', 'sandalwood']",green,"Accords: white floral, green, animalic. Notes: red apple, green notes, bergamot, lily, tuberose, rose, leather, musk. Profile: It smells like a leather jacket draped over an apple tree, with something earthy and slightly woody lingering in the air..","3,78",2009.0,tuberose,dolce-gabbana,5223,d-g-anthology-la-lune-18,animalic,"It smells like a leather jacket draped over an apple tree, with something earthy and slightly woody lingering in the air.",https://www.fragrantica.com/perfume/dolce-gabbana/d-g-anthology-la-lune-18-6089.html
white floral,women,musky,60,"['lily-of-the-valley', 'mandarin orange', 'bergamot', 'jasmine', 'guava', 'iris', 'rose', 'musk']",fresh,"Accords: white floral, fresh, citrus. Notes: lily-of-the-valley, mandarin orange, bergamot, jasmine, guava, iris, rose, musk. Profile: It smells like a flower shop at dawn — citrus peel and orange peel mixed with white flowers, then softens into something powdery and slightly floral..","3,78",2010.0,powdery,elizabeth-arden,5224,5th-avenue-gold,citrus,"It smells like a flower shop at dawn — citrus peel and orange peel mixed with white flowers, then softens into something powdery and slightly floral.",https://www.fragrantica.com/perfume/elizabeth-arden/5th-avenue-gold-8497.html
citrus,women,fresh,325,"['amalfi lemon', 'yuzu', 'bergamot', 'rhubarb', 'orange', 'caraway', 'tea', 'camelia', 'peony', 'magnolia', 'jasmine', 'mint', 'mandarin blossom', 'celery seeds', 'fennel', 'plum', 'cloves', 'birch', 'spices', 'oak moss', 'musk', 'amber']",floral,"Accords: citrus, floral, green. Notes: amalfi lemon, yuzu, bergamot, rhubarb, orange, caraway, tea, camelia. Profile: It smells like a spice market at dawn — sweet lemon and citrus mixed with white flowers, then soft vanilla and powdery wood, finishing with something earthy and slightly floral..","3,78",2011.0,aromatic,elizabeth-arden,5225,green-tea-camellia,green,"It smells like a spice market at dawn — sweet lemon and citrus mixed with white flowers, then soft vanilla and powdery wood, finishing with something earthy and slightly floral.",https://www.fragrantica.com/perfume/elizabeth-arden/green-tea-camellia-12169.html
white floral,women,none,3466,"['mandarin orange', 'jasmine sambac', 'chinese jasmine', 'lily', 'honeysuckle', 'flower petals', 'tuberose', 'musk', 'woody notes', 'patchouli', 'patchouli leaf', 'amber', 'madagascar vanilla']",floral,"Accords: white floral, floral, musky. Notes: mandarin orange, jasmine sambac, chinese jasmine, lily, honeysuckle, flower petals, tuberose, musk. Profile: It smells like citrus peel and jasmine at first, then white flowers with a hint of honeysuckle underneath..","3,78",2013.0,woody,estee-lauder,5226,modern-muse,musky,"It smells like citrus peel and jasmine at first, then white flowers with a hint of honeysuckle underneath.",https://www.fragrantica.com/perfume/estee-lauder/modern-muse-18319.html
warm spicy,unisex,fruity,1699,"['pink pepper', 'paprika', 'mandarin orange', 'incense', 'plum', 'orchid', 'camphor', 'musk', 'benzoin', 'patchouli']",camphor,"Accords: warm spicy, camphor, amber. Notes: pink pepper, paprika, mandarin orange, incense, plum, orchid, camphor, musk. Profile: It smells like a spice market at dawn — sweet pepper and spice mixed with powdery incense, then dried orchids, finishing with something earthy and slightly floral..","3,78",2011.0,sweet,etat-libre-d-orange,5227,archives-69,amber,"It smells like a spice market at dawn — sweet pepper and spice mixed with powdery incense, then dried orchids, finishing with something earthy and slightly floral.",https://www.fragrantica.com/perfume/etat-libre-d-orange/archives-69-11411.html
white floral,women,woody,32,"['mandarin orange', 'pink pepper', 'jasmine', 'tuberose', 'orange blossom', 'musk', 'cedar']",citrus,"Accords: white floral, citrus, tuberose. Notes: mandarin orange, pink pepper, jasmine, tuberose, orange blossom, musk, cedar. Profile: It smells like citrus peel and jasmine at first, then soft white flowers with a hint of powdery wood underneath..","3,78",2014.0,musky,acqua-di-parma,5228,gelsomino-nobile-edizione-speciale,tuberose,"It smells like citrus peel and jasmine at first, then soft white flowers with a hint of powdery wood underneath.",https://www.fragrantica.com/perfume/acqua-di-parma/gelsomino-nobile-edizione-speciale-23906.html
citrus,unisex,ozonic,462,"['yuzu', 'calabrian bergamot', 'sichuan pepper', 'lotus', 'mimosa', 'violet leaf', 'jasmine', 'musk', 'sandalwood', 'licorice']",floral,"Accords: citrus, floral, fresh spicy. Notes: yuzu, calabrian bergamot, sichuan pepper, lotus, mimosa, violet leaf, jasmine, musk. Profile: It smells like sweet yuzu and citrus peel at first, then white flowers with a hint of powdery jasmine underneath..","3,78",2019.0,green,acqua-di-parma,5229,yuzu-eau-de-parfum,fresh spicy,"It smells like sweet yuzu and citrus peel at first, then white flowers with a hint of powdery jasmine underneath.",https://www.fragrantica.com/perfume/acqua-di-parma/yuzu-eau-de-parfum-56004.html
aromatic,women,herbal,1742,"['fern', 'wild berries', 'chamomile', 'leather', 'narcissus', 'lily', 'birch', 'vetiver', 'patchouli']",woody,"Accords: aromatic, woody, leather. Notes: fern, wild berries, chamomile, leather, narcissus, lily, birch, vetiver. Profile: It smells like ferns and berries at first, then soft leather and powdery birch, with something earthy and slightly sweet underneath..","3,78",2016.0,fresh spicy,amouage,5230,bracken-woman,leather,"It smells like ferns and berries at first, then soft leather and powdery birch, with something earthy and slightly sweet underneath.",https://www.fragrantica.com/perfume/amouage/bracken-woman-41454.html
white floral,women,warm spicy,469,"['pear', 'ginger', 'mandarin orange', 'tuberose', 'night blooming jasmine', 'jasmine sambac', 'orange blossom', 'patchouli', 'moss', 'coconut']",tuberose,"Accords: white floral, tuberose, fruity. Notes: pear, ginger, mandarin orange, tuberose, night blooming jasmine, jasmine sambac, orange blossom, patchouli. Profile: It smells like sweet pear and citrus peel at first, then white flowers with a hint of jasmine sambac underneath..","3,78",2023.0,sweet,gucci,5231,gucci-bloom-intense,fruity,"It smells like sweet pear and citrus peel at first, then white flowers with a hint of jasmine sambac underneath.",https://www.fragrantica.com/perfume/gucci/gucci-bloom-intense-79602.html
floral,women,citrus,169,"['pink pepper', 'mandora', 'bergamot', 'violet', 'lilac', 'geranium', 'patchouli', 'amber']",violet,"Accords: floral, violet, powdery. Notes: pink pepper, mandora, bergamot, violet, lilac, geranium, patchouli, amber. Profile: It smells like a spice market at dawn — sweet peppercorns mixed with white flowers, then soft violets and earthy amber..","3,78",2021.0,fresh,gucci,5232,guilty-love-edition-mmxxi-pour-femme,powdery,"It smells like a spice market at dawn — sweet peppercorns mixed with white flowers, then soft violets and earthy amber.",https://www.fragrantica.com/perfume/gucci/guilty-love-edition-mmxxi-pour-femme-64360.html
powdery,women,fresh,1370,"['apple', 'green notes', 'bergamot', 'cassis', 'violet', 'mimosa', 'rose', 'white musk', 'orris', 'woody notes', 'sandalwood']",violet,"Accords: powdery, violet, green. Notes: apple, green notes, bergamot, cassis, violet, mimosa, rose, white musk. Profile: It smells like ripe apple and roses at first, then white flowers with a hint of bergamot, finishing with something earthy and woody..","3,78",2018.0,fruity,guerlain,5233,meteorites-le-parfum,green,"It smells like ripe apple and roses at first, then white flowers with a hint of bergamot, finishing with something earthy and woody.",https://www.fragrantica.com/perfume/guerlain/meteorites-le-parfum-49587.html
floral,women,citrus,27,"['bergamot', 'watermelon', 'cherry blossom', 'pear', 'rose', 'violet', 'woodsy notes', 'musk']",fresh,"Accords: floral, fresh, aquatic. Notes: bergamot, watermelon, cherry blossom, pear, rose, violet, woodsy notes, musk. Profile: It smells like ripe pear and roses at first, then soft white flowers with a hint of powdery wood underneath..","3,78",2020.0,fruity,guerlain,5234,aqua-allegoria-flora-cherrysia-sakura-collection-2020,aquatic,"It smells like ripe pear and roses at first, then soft white flowers with a hint of powdery wood underneath.",https://www.fragrantica.com/perfume/guerlain/aqua-allegoria-flora-cherrysia-sakura-collection-2020-58847.html
white floral,women,musky,6621,"['tincture of rose', 'freesia', 'litchi', 'raspberry', 'lily-of-the-valley', 'jasmine', 'lilac', 'peony', 'lily', 'musk', 'patchouli']",floral,"Accords: white floral, floral, fresh. Notes: tincture of rose, freesia, litchi, raspberry, lily-of-the-valley, jasmine, lilac, peony. Profile: It smells like a rose garden at dawn — sweet rose petals and white flowers mixed with powdery flowers, finishing with something earthy and slightly floral..","3,78",2009.0,rose,guerlain,5235,idylle,fresh,"It smells like a rose garden at dawn — sweet rose petals and white flowers mixed with powdery flowers, finishing with something earthy and slightly floral.",https://www.fragrantica.com/perfume/guerlain/idylle-6341.html
rose,women,cherry,164,"['bergamot', 'sour cherry', 'turkish rose', 'bulgarian rose', 'black tea', 'patchouli']",patchouli,"Accords: rose, patchouli, citrus. Notes: bergamot, sour cherry, turkish rose, bulgarian rose, black tea, patchouli. Profile: It smells like a spice cabinet left open in an old tea shop, where bergamot and cherry blossoms meet white flowers, with something earthy and slightly sweet underneath..","3,78",2013.0,green,guerlain,5236,la-petite-robe-noire-mon-eau-de-lingerie,citrus,"It smells like a spice cabinet left open in an old tea shop, where bergamot and cherry blossoms meet white flowers, with something earthy and slightly sweet underneath.",https://www.fragrantica.com/perfume/guerlain/la-petite-robe-noire-mon-eau-de-lingerie-20167.html
warm spicy,women,rose,1346,"['peony', 'candied ginger', 'ginger', 'cedar']",fresh,"Accords: warm spicy, fresh, floral. Notes: peony, candied ginger, ginger, cedar. Profile: It smells like sweet peony and ginger at first, then soft ginger and a hint of earthy wood..","3,78",2021.0,woody,hermes,5237,twilly-d-hermes-eau-ginger,floral,"It smells like sweet peony and ginger at first, then soft ginger and a hint of earthy wood.",https://www.fragrantica.com/perfume/hermes/twilly-d-hermes-eau-ginger-67667.html
green,men,citrus,902,"['cedar', 'pear leaf', 'bergamot', 'mint', 'basil', 'cedar', 'musk', 'patchouli']",fresh spicy,"Accords: green, fresh spicy, aromatic. Notes: cedar, pear leaf, bergamot, mint, basil, cedar, musk, patchouli. Profile: It smells like dried pear leaves and bergamot at first, then settles into something earthy and slightly powdery..","3,78",2007.0,woody,hugo-boss,5238,hugo-xy,aromatic,"It smells like dried pear leaves and bergamot at first, then settles into something earthy and slightly powdery.",https://www.fragrantica.com/perfume/hugo-boss/hugo-xy-1509.html
floral,unisex,honey,317,"['williams pear', 'sweet pea', 'white musk']",musky,"Accords: floral, musky, sweet. Notes: williams pear, sweet pea, white musk. Profile: It smells like ripe pear and sweet pea at first, then soft white flowers with a hint of white musk..","3,78",2023.0,powdery,jo-malone-london,5239,english-pear-sweet-pea,sweet,"It smells like ripe pear and sweet pea at first, then soft white flowers with a hint of white musk.",https://www.fragrantica.com/perfume/jo-malone-london/english-pear-sweet-pea-84035.html
floral,women,amber,185,"['grapefruit', 'bergamot', 'mandarin orange', 'lotus', 'water lily', 'honeysuckle', 'freesia', 'jasmine', 'musk', 'guaiac wood', 'incense', 'amber', 'sandalwood']",citrus,"Accords: floral, citrus, woody. Notes: grapefruit, bergamot, mandarin orange, lotus, water lily, honeysuckle, freesia, jasmine. Profile: It smells like citrus peel and orange peel at first, then white flowers and honeysuckle, finishing with warm wood and a hint of powdery incense..","3,78",2008.0,aquatic,jo-malone-london,5240,lotus-blossom-water-lily,woody,"It smells like citrus peel and orange peel at first, then white flowers and honeysuckle, finishing with warm wood and a hint of powdery incense.",https://www.fragrantica.com/perfume/jo-malone-london/lotus-blossom-water-lily-3784.html
powdery,women,none,1351,"['jasmine', 'cotton flower', 'white musk']",musky,"Accords: powdery, musky, floral. Notes: jasmine, cotton flower, white musk. Profile: It smells like a perfumer's closet filled with jasmine and white flowers, with something soft and slightly powdery underneath..","3,78",2020.0,white floral,juliette-has-a-gun,5241,musc-invisible,floral,"It smells like a perfumer's closet filled with jasmine and white flowers, with something soft and slightly powdery underneath.",https://www.fragrantica.com/perfume/juliette-has-a-gun/musc-invisible-62377.html
woody,unisex,floral,384,"['licorice', 'orchid', 'tonka bean', 'ambroxan', 'guaiac wood', 'papyrus', 'patchouli', 'cedar']",amber,"Accords: woody, amber, sweet. Notes: licorice, orchid, tonka bean, ambroxan, guaiac wood, papyrus, patchouli, cedar. Profile: It smells like licorice and dried orchids at first, then soft wood with a hint of spiced wood and warm papyrus..","3,78",2016.0,soft spicy,juliette-has-a-gun,5242,into-the-void,sweet,"It smells like licorice and dried orchids at first, then soft wood with a hint of spiced wood and warm papyrus.",https://www.fragrantica.com/perfume/juliette-has-a-gun/into-the-void-39010.html
musky,unisex,leather,208,"['pink pepper', 'bergamot', 'suede', 'iris', 'patchouli', 'amber', 'ambroxan', 'white musk', 'tonka bean']",amber,"Accords: musky, amber, powdery. Notes: pink pepper, bergamot, suede, iris, patchouli, amber, ambroxan, white musk. Profile: It smells like a leather jacket left in an old wooden cabinet — sweet peppercorns and powdery iris mixed with white flowers, then settles into something soft and slightly earthy..","3,78",2017.0,iris,juliette-has-a-gun,5243,metal-chypre,powdery,"It smells like a leather jacket left in an old wooden cabinet — sweet peppercorns and powdery iris mixed with white flowers, then settles into something soft and slightly earthy.",https://www.fragrantica.com/perfume/juliette-has-a-gun/metal-chypre-45811.html
fruity,women,sour,41,"['pomegranate', 'guava', 'red currant', 'freesia', 'rose', 'white musk']",floral,"Accords: fruity, floral, woody. Notes: pomegranate, guava, red currant, freesia, rose, white musk. Profile: It smells like pomegranate and guava at first, then rose petals and white flowers, finishing with a warm, slightly powdery base..","3,78",2015.0,rose,kenzo,5244,flower-in-the-air-summer-edition,woody,"It smells like pomegranate and guava at first, then rose petals and white flowers, finishing with a warm, slightly powdery base.",https://www.fragrantica.com/perfume/kenzo/flower-in-the-air-summer-edition-29990.html
fruity,women,tropical,348,"['litchi', 'pear', 'grapefruit', 'lily', 'freesia', 'jasmine', 'musk', 'cedar']",white floral,"Accords: fruity, white floral, citrus. Notes: litchi, pear, grapefruit, lily, freesia, jasmine, musk, cedar. Profile: It smells like ripe pear and citrus peel at first, then white flowers with a hint of jasmine underneath..","3,78",2013.0,fresh,kenzo,5245,madly-kenzo-kiss-n-fly,citrus,"It smells like ripe pear and citrus peel at first, then white flowers with a hint of jasmine underneath.",https://www.fragrantica.com/perfume/kenzo/madly-kenzo-kiss-n-fly-18467.html
citrus,unisex,salty,1382,"['lime', 'mint', 'cachaça', 'tiare flower', 'ylang-ylang', 'sea water', 'salt', 'coconut']",marine,"Accords: citrus, marine, aromatic. Notes: lime, mint, cachaça, tiare flower, ylang-ylang, sea water, salt, coconut. Profile: It smells like citrus peel and mint at first, then settles into something sweet and salty, with a hint of powdery sweetness..","3,78",2011.0,green,l-artisan-parfumeur,5246,batucada,aromatic,"It smells like citrus peel and mint at first, then settles into something sweet and salty, with a hint of powdery sweetness.",https://www.fragrantica.com/perfume/l-artisan-parfumeur/batucada-13195.html
vanilla,women,white floral,2239,"['mandarin orange', 'pink pepper', 'bergamot', 'ylang-ylang', 'iris', 'orange blossom', 'jasmine', 'coconut', 'vanilla', 'patchouli']",coconut,"Accords: vanilla, coconut, sweet. Notes: mandarin orange, pink pepper, bergamot, ylang-ylang, iris, orange blossom, jasmine, coconut. Profile: It smells like citrus peel and white flowers at first, then soft vanilla and powdery iris, finishing with a sweet vanilla-vanilla base..","3,78",2021.0,citrus,lancome,5247,la-vie-est-belle-soleil-cristal,sweet,"It smells like citrus peel and white flowers at first, then soft vanilla and powdery iris, finishing with a sweet vanilla-vanilla base.",https://www.fragrantica.com/perfume/lancome/la-vie-est-belle-soleil-cristal-65156.html
vanilla,men,fresh spicy,700,"['lavender', 'black pepper', 'coconut water', 'iris', 'salt', 'vanilla', 'incense']",iris,"Accords: vanilla, iris, powdery. Notes: lavender, black pepper, coconut water, iris, salt, vanilla, incense. Profile: It smells like a spice market at dawn — powdery lavender and peppery, with something sweet and salty underneath..","3,78",2024.0,lavender,lattafa-perfumes,5248,asad-zanzibar,powdery,"It smells like a spice market at dawn — powdery lavender and peppery, with something sweet and salty underneath.",https://www.fragrantica.com/perfume/lattafa-perfumes/asad-zanzibar-90713.html
aromatic,unisex,warm spicy,102,"['rosemary', 'juniper berries', 'grapefruit', 'cardamom', 'cedar', 'angelica', 'rose', 'vanilla', 'musk', 'ambroxan']",fresh spicy,"Accords: aromatic, fresh spicy, woody. Notes: rosemary, juniper berries, grapefruit, cardamom, cedar, angelica, rose, vanilla. Profile: It smells like a spice market at dawn — sweet roses and citrus peel mixed with cardamom, then softened by something powdery and slightly woody..","3,78",2019.0,vanilla,les-parfums-de-rosine,5249,vanille-paradoxe,woody,"It smells like a spice market at dawn — sweet roses and citrus peel mixed with cardamom, then softened by something powdery and slightly woody.",https://www.fragrantica.com/perfume/les-parfums-de-rosine/vanille-paradoxe-53348.html
soft spicy,women,citrus,3741,"['mandarin orange', 'bergamot', 'pink pepper', 'elemi resin', 'sweet pea', 'heliotrope', 'wallflower', 'elemi', 'patchouli', 'tonka bean', 'amber']",sweet,"Accords: soft spicy, sweet, aromatic. Notes: mandarin orange, bergamot, pink pepper, elemi resin, sweet pea, heliotrope, wallflower, elemi. Profile: It smells like citrus peel and bergamot at first, then sweet peas and white flowers, finishing with something earthy and slightly powdery..","3,78",2009.0,floral,lolita-lempicka,5250,si-lolita,aromatic,"It smells like citrus peel and bergamot at first, then sweet peas and white flowers, finishing with something earthy and slightly powdery.",https://www.fragrantica.com/perfume/lolita-lempicka/si-lolita-6433.html
fruity,women,floral,69,"['barberry', 'cherry', 'hawthorn', 'pink pepper', 'rose', 'apple', 'melon', 'jasmine', 'sandalwood', 'vanilla', 'agarwood (oud)', 'musk', 'patchouli']",sweet,"Accords: fruity, sweet, cherry. Notes: barberry, cherry, hawthorn, pink pepper, rose, apple, melon, jasmine. Profile: It smells like a fruit stand next to an apple orchard — sweet barberry and cherry mixed with powdery roses, then softened by something earthy and slightly woody..","3,78",2011.0,woody,m-micallef,5251,special-red-edition,cherry,"It smells like a fruit stand next to an apple orchard — sweet barberry and cherry mixed with powdery roses, then softened by something earthy and slightly woody.",https://www.fragrantica.com/perfume/m-micallef/special-red-edition-18563.html
citrus,unisex,soft spicy,257,"['pink pepper', 'bergamot', 'tangerine', 'coriander', 'jasmine', 'neroli', 'vanilla', 'milk mousse', 'musk', 'patchouli']",vanilla,"Accords: citrus, vanilla, musky. Notes: pink pepper, bergamot, tangerine, coriander, jasmine, neroli, vanilla, milk mousse. Profile: It smells like a spice market at dawn — sweet pepper and mint mixed with white flowers, then soft vanilla and powdery musk..","3,78",2021.0,sweet,m-micallef,5252,edenfalls,musky,"It smells like a spice market at dawn — sweet pepper and mint mixed with white flowers, then soft vanilla and powdery musk.",https://www.fragrantica.com/perfume/m-micallef/edenfalls-65939.html
woody,women,yellow floral,219,"['orange', 'neroli', 'amalfi lemon', 'ylang-ylang', 'iris', 'cinnamon', 'jasmine', 'almond', 'sandalwood', 'vanilla', 'musk', 'virginia cedar']",powdery,"Accords: woody, powdery, sweet. Notes: orange, neroli, amalfi lemon, ylang-ylang, iris, cinnamon, jasmine, almond. Profile: It smells like orange peel and citrus peel at first, then iris and jasmine, finishing with a hint of vanilla and soft wood..","3,78",2003.0,citrus,m-micallef,5253,les-4-saisons-hiver,sweet,"It smells like orange peel and citrus peel at first, then iris and jasmine, finishing with a hint of vanilla and soft wood.",https://www.fragrantica.com/perfume/m-micallef/les-4-saisons-hiver-8332.html
musky,unisex,rose,5165,"['aldehydes', 'lily-of-the-valley', 'pear', 'rose', 'iris', 'orange blossom', 'white musk', 'ambrette (musk mallow)', 'indonesian patchouli leaf']",fresh,"Accords: musky, fresh, white floral. Notes: aldehydes, lily-of-the-valley, pear, rose, iris, orange blossom, white musk, ambrette (musk mallow). Profile: It smells like sweet pear and rose petals at first, then white flowers with a hint of powdery musk underneath..","3,78",2013.0,aldehydic,maison-martin-margiela,5254,lazy-sunday-morning,white floral,"It smells like sweet pear and rose petals at first, then white flowers with a hint of powdery musk underneath.",https://www.fragrantica.com/perfume/maison-martin-margiela/lazy-sunday-morning-20542.html
