all_notes,target_description
"['pink pepper', 'citruses', 'water notes', 'geranium', 'vetiver', 'amber', 'patchouli']","It smells like a sweet and tangy mix of pink pepper and citruses, with a subtle undertone of warm resin and slightly sweet plastic."
"['water notes', 'citruses', 'cucumber', 'watermelon', 'water lily', 'musk', 'moss']","It smells like a refreshing blend of citrus peel, sweet watermelon, and a hint of moss, with a subtle undertone of skin and fabric."
"['watermelon', 'litchi', 'citruses', 'lotus', 'magnolia', 'freesia', 'creme brulee', 'iris', 'sandalwood']","It smells like sweet watermelon and litchi at first, then warm resin and dry wood."
"['watery notes', 'tea', 'driftwood']",It smells like tea and driftwood with a hint of watery notes.
"['cucumber', 'lime', 'mint', 'bergamot', 'water notes', 'granny smith apple', 'lotus', 'rosemary', 'driftwood', 'rum', 'sandalwood', 'oak moss']","It smells like a crisp granny smith apple, followed by the freshness of cucumber and the subtle earthiness of oak moss, with a dry wood undertone."
"['grass', 'clementine', 'wild strawberry', 'cypress', 'watery notes', 'sunflower', 'passion flower', 'white orchid', 'musk', 'moss', 'teak wood', 'amber']","It smells like a combination of sun-kissed grass, clementine zest, and moss, with a subtle hint of warm resin and slightly sweet plastic."
"['water notes', 'bergamot', 'ginger', 'violet leaf', 'white pepper', 'basil', 'musk', 'vetiver', 'virginia cedar', 'oak moss']","It smells like a combination of citrus and floral notes at first, followed by a subtle hint of violet leaf, and finally settles into a dry, woody scent with undertones of musk and skin."
"['red apple', 'litchi', 'tomato', 'orange', 'lotus', 'watermelon', 'osmanthus', 'musk', 'sandalwood']","It smells like a sweet and juicy red apple, followed by the warm and slightly sweet scent of orange, and finally finishing with the dry and woody aroma of sandalwood."
"['watery notes', 'seaweed', 'pataqueira', 'sea salt', 'aromatic notes', 'ambergris', 'cedar', 'moss', 'patchouli', 'tonka bean', 'amyris']","It smells like wet leaves, sea salt, and warm resin."
"['orange', 'mangosteen', 'water notes', 'water lily', 'orchid', 'tincture of rose', 'oak moss', 'sandalwood', 'mahogany', 'virginia cedar', 'tonka bean']","It smells like orange peel, water lily, and dry wood."
"['watermelon', 'pear', 'lemon', 'lotus', 'gardenia', 'frangipani', 'musk', 'sandalwood', 'cedar']","It smells like sweet citrus and fresh gardenia at first, then warm resin and dry wood."
"['grapefruit', 'angelica', 'rice', 'basil', 'ginger', 'water lily', 'jasmine sambac', 'violet leaf', 'mimosa', 'orris root', 'rose', 'geranium', 'rain notes', 'cashmeran', 'oakmoss', 'vetiver', 'patchouli', 'benzoin', 'tonka bean']","It smells like a zesty combination of grapefruit and ginger, with hints of damp soil and dry wood."
"['green notes', 'melon', 'orange', 'water notes', 'lily-of-the-valley', 'rose', 'jasmine', 'musk']","It smells like green notes, followed by water notes and then a sweet lily-of-the-valley, with a subtle musk undertone."
"['melon', 'green apple', 'lime', 'ginger', 'orange', 'pomegranate', 'water notes', 'sea salt', 'iris', 'tulip', 'patchouli', 'vanilla']","It smells like sweet melon and green apple at first, then warm vanilla and wet leaves, with a hint of sea salt."
"['watery notes', 'grapefruit', 'lemon', 'rhubarb', 'watermelon', 'eucalyptus', 'peach', 'white woods', 'ambroxan']","It smells like a combination of juicy watermelon and sweet peach, with a hint of eucalyptus and a dry wood undertone."
"['pear', 'cascalone', 'ambrette (musk mallow)', 'egyptian jasmine', 'narcissus', 'ylang-ylang', 'patchouli', 'moss']","It smells like ripe pears, warm resin, and dry wood."
"['citron', 'watery notes', 'mint', 'watery notes', 'lavender', 'black pepper', 'ginger', 'violet leaf', 'pink pepper', 'cedar', 'musk', 'amber']","It smells like a combination of citrusy citron and sweet lavender, with a subtle hint of warm resin and slightly sweet plastic."
"['rosemary', 'melon', 'galbanum', 'watery notes', 'violet', 'cyclamen', 'musk', 'moss', 'vetiver']","It smells like mossy forest floor, followed by sweet melon and a hint of damp soil."
"['grapefruit', 'pear', 'seaweed', 'water notes', 'virginia cedar', 'sandalwood']","It smells like a combination of tart grapefruit, sweet pear, and a hint of salty seaweed, with a subtle dry wood and skin undertone."
"['watery notes', 'citruses', 'pink pepper', 'blackberry', 'mint', 'cyclamen', 'orange blossom', 'coriander', 'raspberry', 'musk', 'cedar', 'amber']","It smells like a combination of fresh citrus and sweet pink pepper, with a subtle hint of warm resin and slightly sweet fabric."
"['watermelon', 'lily-of-the-valley', 'pear', 'freesia', 'violet leaf', 'jasmine', 'rose', 'virginia cedar', 'musk', 'sandalwood']","It smells like sweet watermelon and ripe pear, with a subtle hint of dry wood and skin."
"['mandarin orange', 'melon', 'lotus', 'white peach', 'jasmine', 'white musk', 'cedar']","It smells like sweet citrus and juicy melon, with subtle hints of fresh lotus and warm white peach."
"['water lily', 'cucumber', 'lime', 'jasmine', 'wild orchid', 'sea notes', 'musk', 'ambroxan', 'cedar']","It smells like a combination of fresh lime and sweet cucumber, followed by a subtle hint of skin and fabric."
"['amalfi lemon', 'mint', 'seaweed', 'water notes', 'vetiver', 'amber']","It smells like a bright, citrusy burst of Amalfi lemon followed by a subtle hint of damp soil and a sweet, warm resin."
"['watery notes', 'red fruits', 'fruity notes', 'seaweed', 'peach', 'pataqueira', 'water notes', 'jasmine sambac', 'ylang-ylang', 'musk', 'cashmeran', 'cedar', 'amber', 'sandalwood']","It smells like a mix of fruity notes and peach, with a subtle hint of warm resin and dry wood."
"['watery notes', 'lotus', 'hyacinth', 'jasmine sambac', 'white musk', 'white woods']","It smells like a mix of watery notes and lotus, with a subtle sweetness from jasmine sambac and a dry, woody undertone from white woods."
"['watermelon', 'water notes', 'green notes', 'lotus', 'peony', 'gardenia', 'violet', 'musk', 'woodsy notes', 'sandalwood', 'amber']","It smells like sweet green notes and fresh gardenia at first, then warm resin and slightly sweet plastic, finally dry wood and skin."
"['calypsone', 'black pepper', 'white pepper', 'ambroxan', 'cedar', 'sandalwood', 'cosmone', 'styrax']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['watermelon', 'yuzu', 'violet leaf', 'water lily', 'gardenia', 'gustavia flower', 'cupcake', 'tonka']","It smells like sweet watermelon and fresh violet leaf at first, then warm resin and dry wood."
"['water notes', 'oakmoss', 'birch', 'woody notes']","It smells like damp earth and woody notes, with subtle hints of water and a dry, slightly sweet finish."
"['fig', 'melon', 'green tangerine', 'coconut water', 'lotus', 'water lily', 'jasmine', 'ambroxan', 'musk', 'sandalwood', 'vanilla']","It smells like sweet coconut water, followed by a subtle blend of jasmine and green tangerine, finishing with dry sandalwood and a hint of skin-like musk."
"['water notes', 'green leaves', 'pear', 'ambergris', 'lichen', 'lavender', 'thyme', 'cedarmoss', 'sandalowood']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['water notes', 'violet', 'apple', 'orange', 'star anise', 'orchid', 'jasmine', 'geranium', 'rose', 'musk', 'oak moss', 'sandalwood', 'amber']","It smells like fresh apple and sweet violet at first, then warm resin and dry wood, finishing with a hint of skin and fabric."
"['lemon zest', 'cardamom', 'watery notes', 'ice', 'mint', 'lavender', 'haitian vetiver']","It smells like a burst of citrusy freshness, followed by a subtle sweetness and a dry, woody undertone."
"['watermelon', 'pear', 'mandarin orange', 'bergamot', 'cardamon', 'freesia', 'cedar', 'musk', 'patchouli']","It smells like sweet watermelon and juicy pear, with a hint of warm resin and dry wood."
"['water notes', 'pear', 'rose', 'peony', 'carnation', 'osmanthus', 'woodsy notes']","It smells like a bouquet of rose and peony, with hints of warm resin and dry wood."
"['bergamot', 'lemon', 'fruity notes', 'water notes', 'jasmine', 'oakmoss', 'cedar', 'musk', 'floral notes']","It smells like citrusy bergamot and sweet floral notes at first, then warm resin and dry wood."
"['goji berries', 'pear', 'almond blossom', 'watermelon', 'violet', 'cyclamen', 'jasmine', 'peony', 'cashmeran', 'ambergris', 'cedar']","It smells like sweet watermelon and fresh pear, with a subtle hint of warm resin and dry wood."
"['green leaves', 'apple', 'water notes', 'musk', 'amber', 'moss']","It smells like green leaves and moss at first, then warm resin and slightly sweet plastic, finishing with a hint of apple."
"['water notes', 'pear', 'rose', 'peony', 'carnation', 'osmanthus', 'woodsy notes']","It smells like fresh water and rose petals at first, then a subtle hint of dry wood and slightly sweet plastic."
"['lavender', 'mint', 'mandarin orange', 'water notes', 'green notes', 'cardamom', 'nutmeg', 'musk', 'amber', 'leather']","It smells like a blend of citrusy mandarin orange and sweet lavender, with subtle notes of warm resin and dry wood."
"['watermelon', 'mandarin orange', 'grapefruit', 'water notes', 'jasmine', 'guaiac wood', 'musk', 'oakmoss', 'amber']","It smells like sweet watermelon and juicy mandarin orange, with a subtle hint of warm resin and slightly sweet plastic."
"['bergamot', 'watery notes', 'musk', 'patchouli']","It smells like bergamot and wet leaves, with a subtle hint of skin."
"['watery notes', 'lavender', 'bergamot', 'bay leaf', 'jasmine', 'amber', 'sandalwood', 'patchouli']","It smells like a combination of citrus peel, lavender, and bergamot, with notes of warm resin and dry wood lingering in the background."
"['bergamot', 'mandarin orange', 'water notes', 'violet leaf', 'cardamom', 'birch', 'vetiver', 'amber']","It smells like bergamot and mandarin orange at first, then warm resin and slightly sweet plastic, finishing with damp soil and dry wood."
"['mandarin orange', 'mint', 'lavender', 'calypsone', 'patchouli']","It smells like a combination of sweet mandarin orange, fresh mint, and subtle lavender at first, with a dry, earthy patchouli undertone that deepens over time."
"['sea notes', 'seaweed', 'basil', 'black currant', 'white pepper', 'watermelon', 'melon', 'green notes', 'bamboo', 'papaya', 'amber', 'cashmere wood']","It smells like a sweet and tangy combination of sea notes and watermelon, with a subtle hint of warm resin and dry wood."
"['water notes', 'pear', 'amalfi lemon', 'freesia', 'gardenia', 'peony', 'rose', 'musk', 'virginia cedar', 'patchouli']","It smells like a combination of sweet water notes, fresh pear, and a hint of wet leaves, with a subtle dry wood and skin undertone."
"['citruses', 'black currant', 'plum', 'water notes', 'lavender', 'green notes', 'juniper berries', 'geranium', 'musk', 'sandalwood', 'oak moss']","It smells like a mix of citrus peel and sweet lavender at first, then warm resin and dry wood notes take over."
"['watery notes', 'fruity notes', 'ivy', 'mandarin orange', 'rose water', 'water lily', 'cyclamen', 'white musk', 'sandalwood', 'cedar']","It smells like mandarin orange, water lily, and rose water at first, then cyclamen and sandalwood emerge, finishing with a subtle hint of white musk."
"['watery notes', 'cloves', 'melon', 'nutmeg', 'cinnamon', 'vanilla', 'woody notes', 'amber']","It smells like warm resin, melon, and slightly sweet plastic."
"['watermelon', 'sea water', 'pear', 'mandarin orange', 'bergamot', 'lavender', 'cardamom', 'woodsy notes', 'virginia cedar', 'musk', 'suede', 'amber']","It smells like a sweet and juicy watermelon, with hints of bergamot and lavender, and a subtle dry wood note."
"['water notes', 'salt', 'metallic notes', 'leather', 'cedar', 'tobacco']","It smells like water notes, followed by a hint of salt and dry leather, with subtle undertones of metallic notes and a touch of cedar."
"['mineral notes', 'violet leaves', 'quince', 'lotus', 'violet', 'jasmine', 'seaweed', 'musk', 'sandalwood']","It smells like dry wood, skin, and slightly sweet plastic."
"['mandarin orange', 'lime', 'orange', 'sea notes', 'watery notes', 'pepper', 'nutmeg', 'cedar', 'vetiver']","It smells like a combination of juicy mandarin orange, sweet lime, and warm nutmeg, with subtle hints of damp soil and dry wood."
"['watery notes', 'water fruit', 'lemon', 'floral notes', 'musk', 'driftwood', 'amber']","It smells like a mix of citrusy lemon and sweet water fruit, with subtle notes of warm resin and dry wood."
"['melon', 'watermelon', 'bergamot', 'watery notes', 'white flowers', 'sandalwood', 'musk']","It smells like sweet melon and fresh watermelon at first, then dry wood and skin."
"['water notes', 'bergamot', 'pear', 'water lily', 'jasmine', 'iris', 'musk', 'amber', 'sandalwood']","It smells like warm resin, dry wood, and skin, with subtle hints of pear and water lily."
"['water notes', 'amalfi lemon', 'mint', 'pepper', 'geranium', 'oak moss', 'virginia cedar']","It smells like a combination of citrusy water and sweet mint, with a subtle dry wood and slightly sweet fabric undertones."
"['water notes', 'fruity notes', 'blue lotus', 'musk']","It smells like water notes with a hint of fruity sweetness, followed by the subtle aroma of blue lotus and a sensual musk."
"['lotus', 'lemon', 'watery notes', 'orange blossom', 'white musk', 'cedar']","It smells like a combination of citrusy lemon and sweet orange blossom, with subtle notes of watery freshness and a soft, musky dry down."
"['watermelon', 'pear', 'white peach', 'watery notes', 'magnolia', 'white rose', 'white musk', 'palisander rosewood', 'sandalwood']","It smells like sweet watermelon and ripe pear, with hints of warm resin and dry wood."
"['melon', 'mint', 'watery notes', 'lily-of-the-valley', 'violet', 'cedar', 'musk', 'amber']","It smells like sweet melon and fresh mint at first, then warm resin and slightly sweet plastic, finishing with a subtle hint of skin and fabric."
"['water notes', 'water lily', 'lilac', 'apricot', 'rose', 'jasmine', 'violet', 'vetiver', 'moss', 'sandalwood']","It smells like water lily and rose at first, then dry wood and moss."
"['watery notes', 'bergamot', 'grapefruit blossom', 'ginger', 'blue lotus', 'magnolia', 'cedar', 'white musk', 'ambergris']","It smells like a combination of citrusy grapefruit and sweet magnolia, with a subtle warmth from cedar and ambergris, and a dry, earthy note from ginger."
"['pear', 'lemon', 'green leaves', 'watery notes', 'marigold', 'lavender', 'rose', 'cedar', 'amber', 'musk']","It smells like ripe pears and citrusy lemons at first, then warm resin and slightly sweet plastic, finishing with a dry wood and skin-like musk."
"['watermelon', 'sea notes', 'violet', 'lily-of-the-valley', 'jasmine', 'sinfonide', 'amber']","It smells like warm resin, slightly sweet plastic, and fresh violet."
"['italian lemon', 'watery notes', 'woody notes', 'leather']","It smells like a combination of Italian lemon and warm resin, with subtle notes of damp soil and dry wood."
"['pear', 'violet leaf', 'citrus', 'cedarwood', 'sandalwood', 'vetiver', 'musk', 'moss']","It smells like ripe pear and citrus, with mossy undertones and a hint of damp soil."
"['watery notes', 'bergamot', 'mandarin orange', 'sand', 'ylang-ylang', 'orange blossom', 'salt', 'vanilla', 'sandalwood', 'amber', 'musk']","It smells like a combination of citrus peel, warm resin, and orange blossom at first, then settles into dry wood and skin."
"['cucumber', 'mandarin orange', 'melon', 'sea notes', 'orange blossom', 'freesia', 'musk', 'raspberry']","It smells like a sweet and tangy mix of fresh cucumber and ripe orange, with hints of warm skin and dry wood."
"['fruity notes', 'spicy notes', 'watery notes', 'woody notes', 'spicy notes', 'woody notes', 'amber', 'musk']","It smells like warm resin, slightly sweet plastic, and skin."
"['watermelon', 'melon', 'raspberry', 'black currant', 'mandarin orange', 'pink pepper', 'water notes', 'green notes', 'violet', 'lily-of-the-valley', 'musk', 'sandalwood', 'amber']","It smells like sweet watermelon and ripe mandarin orange at first, then warm resin and dry wood, finishing with subtle skin and fabric notes."
"['pink grapefruit', 'litchi', 'watery notes', 'flowers', 'guava', 'passionfruit', 'exotic woods', 'vanilla']","It smells like pink grapefruit, followed by sweet flowers and a hint of exotic woods, finishing with a subtle vanilla note."
"['water notes', 'vetiver', 'driftwood']","It smells like water notes and driftwood, with a hint of damp soil."
"['water notes', 'aldehydes', 'coconut', 'geosmin', 'sea water', 'tuberose', 'violet leaf', 'jasmine', 'cashmeran', 'costus', 'moss', 'ambroxan']","It smells like fresh coconut, sea water, and moss, with subtle hints of violet leaf and cashmeran."
"['melon', 'camphor', 'cucumber', 'mint', 'metallic notes', 'salt', 'watery notes', 'rose', 'oysters', 'civet', 'resins', 'benzoin']","It smells like sweet melon and cucumber at first, then dry wood and slightly sweet plastic, finishing with a hint of skin and fabric."
"['water notes', 'milk', 'white flowers', 'white musk', 'iris', 'white amber']","It smells like fresh milk and white flowers at first, then subtle notes of warm resin and slightly sweet fabric."
"['rose', 'jasmine', 'vanilla']","It smells like warm vanilla, followed by the sweetness of fresh jasmine, and finishing with a soft, powdery rose."
"['mandarin orange', 'red currant', 'bergamot', 'dew drop', 'violet', 'magnolia', 'peach', 'pink jasmine', 'musk', 'sandalwood', 'amber']","It smells like a sweet and tangy combination of citrusy mandarin orange and juicy peach, with subtle hints of warm resin and dry wood."
"['watery notes', 'bergamot', 'sea salt', 'narcissus', 'musk', 'woodsy notes', 'amber']","It smells like a combination of citrus peel, sea salt, and narcissus at first, then settles into warm resin and slightly sweet plastic."
"['watery notes', 'bergamot', 'mandarin orange', 'violet leaf', 'galbanum', 'watermelon', 'bamboo', 'jasmine', 'amber', 'vetiver']","It smells like a combination of citrus peel and sweet watermelon, with subtle hints of damp soil and warm resin."
"['lavender', 'watermelon', 'basil', 'water notes', 'floral notes', 'virginia cedar', 'oak moss', 'musk']","It smells like sweet watermelon and fresh lavender at first, then dries down to warm skin and clean laundry."
"['mandarin orange', 'water notes', 'lotus', 'lotus leaf', 'violet leaf', 'cedar']","It smells like a sweet and tangy mandarin orange, with a subtle hint of water notes, followed by a dry and earthy lotus leaf and a slightly sweet violet leaf."
"['violet leaf', 'watery notes', 'nutmeg', 'virginia cedar']","It smells like a combination of watery notes and nutmeg, with a subtle hint of virginia cedar in the background."
"['watery notes', 'cyclamen', 'watermelon', 'melon', 'maltol', 'musk']","It smells like watermelon and cyclamen at first, then watery notes and skin."
"['watery notes', 'vetiver', 'herbal notes', 'geranium', 'musk', 'amber']","It smells like damp soil, geranium, and skin at first, then warm resin and slightly sweet plastic."
"['cardamom', 'lavender', 'virginia cedar', 'bergamot', 'vetiver', 'caraway']","It smells like a warm blend of citrus peel, lavender, and caraway, with subtle hints of damp soil and dry wood."
"['lavender', 'mint', 'cardamom', 'bergamot', 'artemisia', 'cinnamon', 'orange blossom', 'caraway', 'vanilla', 'tonka bean', 'amber', 'sandalwood', 'cedar']","It smells like a subtle blend of lavender and mint, with a hint of warm resin and dry wood."
"['sea water', 'lavender', 'mint', 'green notes', 'rosemary', 'calone', 'coriander', 'sandalwood', 'neroli', 'geranium', 'jasmine', 'musk', 'oakmoss', 'tobacco', 'cedar', 'ambergris']","It smells like sea water, dry wood, and warm resin."
"['apple', 'ginger', 'bergamot', 'sage', 'juniper berries', 'geranium', 'amberwood', 'tonka bean', 'cedar', 'vetiver', 'olibanum']","It smells like warm resin, slightly sweet plastic, and damp soil."
"['amalfi lemon', 'mint', 'water jasmine', 'virginia cedar', 'brown sugar', 'french labdanum']","It smells like a sweet and tangy citrus, followed by a floral bouquet, and then settles into a warm, resinous scent with hints of dry wood and skin."
"['sea notes', 'bergamot', 'rosemary', 'sage', 'geranium', 'incense', 'patchouli']","It smells like a combination of citrus peel, warm resin, and wet leaves."
"['amalfi lemon', 'tagetes', 'black currant', 'bergamot', 'african orange flower', 'violet', 'cyclamen', 'jasmine', 'vetiver', 'musk', 'amber', 'virginia cedar']","It smells like a sweet and tangy citrus, followed by a floral bouquet, and finally settles into a warm resin and slightly sweet plastic."
"['lavender', 'rosemary', 'neroli', 'petitgrain', 'geranium', 'clary sage', 'galbanum', 'jasmine', 'oakmoss', 'vetiver', 'cedar', 'sandalwood', 'amber']","It smells like lavender fields and rosemary bushes at first, then warm resin and slightly sweet plastic, finally finishing with damp soil and dry wood."
"['mandarin orange', 'mint', 'cypress', 'sage', 'pepper', 'tonka bean', 'musk', 'sandalwood', 'cedar']","It smells like sweet mandarin orange and fresh mint at first, then warm cedar and dry sandalwood."
"['grapefruit', 'mandarin orange', 'sea water', 'juniper', 'musk', 'amberwood']","It smells like a sweet and tangy grapefruit, followed by the warm resin of amberwood and the subtle musk of clean laundry."
"['citruses', 'bergamot', 'juniper', 'anise', 'brazilian rosewood', 'basil', 'lavender', 'rose', 'carnation', 'jasmine', 'heliotrope', 'geranium', 'sage', 'fir', 'lily-of-the-valley', 'vanilla', 'tonka bean', 'sandalwood', 'iris', 'musk', 'amber', 'cedar', 'patchouli', 'vetiver']","It smells like citrus peel, warm vanilla, and damp soil."
"['bergamot', 'lemon', 'mandarin orange', 'orange blossom', 'white nerium oleander', 'fig leaf', 'cypress', 'red cedar', 'juniper', 'pistachio', 'musk']","It smells like a burst of citrus, followed by sweet orange blossom and a hint of fresh fig leaf, with a subtle dry wood undertone."
"['lavender', 'clary sage', 'leather', 'bitter almond', 'vanilla', 'orris', 'leather', 'tonka bean', 'cashmeran', 'white woods', 'amber']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['mint', 'rose', 'carnation', 'cannabis', 'vetiver', 'amber']","It smells like a refreshing blend of mint and rose, with subtle hints of damp soil and warm resin."
"['chamomile', 'aldehydes', 'clary sage', 'coriander', 'geranium', 'lemon verbena', 'brazilian rosewood', 'bergamot', 'carnation', 'rose', 'ylang-ylang', 'orris root', 'jasmine', 'tuberose', 'orange blossom', 'oakmoss', 'patchouli', 'incense', 'vetiver', 'sandalwood', 'musk']","It smells like dry wood, warm resin, and slightly sweet plastic at first, then shifts into damp soil and forest floor."
"['lavender', 'lemon', 'bergamot', 'rosemary', 'mint', 'lemon verbena', 'basil', 'artemisia', 'juniper', 'coriander', 'cinnamon', 'carnation', 'wormwood', 'angelica', 'jasmine', 'oakmoss', 'pine tree needles', 'leather', 'fir', 'sandalwood', 'vetiver', 'patchouli', 'cedar', 'amber', 'resins']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['lavender', 'lemon', 'caraway', 'basil', 'bergamot', 'clary sage', 'iris', 'star anise', 'vetiver', 'sandalwood', 'patchouli', 'cedar', 'juniper berries', 'cardamom', 'oakmoss', 'leather', 'amber', 'musk', 'tonka bean']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['bergamot', 'tobacco', 'lemon', 'nutmeg', 'neroli', 'coriander', 'mandarin orange', 'vetiver', 'pepper', 'carnation', 'sage', 'orris root', 'sandalwood', 'vetiver', 'oakmoss', 'leather', 'myrrh', 'civet', 'tonka bean', 'amber']","It smells like citrus peel, warm resin, and dry wood."
"['bitter orange', 'caraway', 'birch', 'bergamot', 'coriander', 'mandarin orange', 'neroli', 'artemisia', 'guatemalan cardamom', 'pepper', 'ginger', 'iris', 'juniper', 'cinnamon', 'orris root', 'jasmine', 'tahitian vetiver', 'tea', 'cedar', 'leather', 'oakmoss', 'amber']","It smells like citrus peel and warm resin, with hints of damp soil and dry wood."
"['lemon', 'bergamot', 'basil', 'rosemary', 'caraway', 'fruity notes', 'jasmine', 'coriander', 'carnation', 'patchouli', 'orris root', 'sandalwood', 'rose', 'lavender', 'hedione', 'oakmoss', 'vetiver', 'musk', 'amber']","It smells like citrus peel and light florals at first, then shifts into warm resin, forest floor, and dry wood."
"['lavender', 'lemon', 'bergamot', 'mandarin orange', 'sage', 'juniper berries', 'basil', 'geranium', 'jasmine', 'coriander', 'orange blossom', 'lily-of-the-valley', 'lily', 'sandalwood', 'musk', 'vetiver', 'brazilian rosewood', 'amber']","It smells like warm resin, dry wood, and slightly sweet fabric."
"['myrhh', 'clary sage', 'coriander', 'bergamot', 'lime', 'amalfi lemon', 'rose', 'thyme', 'basil', 'jasmine', 'castoreum', 'oakmoss', 'patchouli', 'french labdanum']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['lavender', 'sage', 'mandarin orange', 'tobacco', 'rose', 'carnation', 'geranium', 'tonka bean', 'fir', 'vetiver', 'cedar']","It smells like dry wood, slightly sweet plastic, and damp soil."
"['mint', 'candy apple', 'lemon', 'mandarin orange', 'ambroxan', 'geranium', 'clary sage', 'vanilla', 'cedar', 'sandalwood', 'bitter orange', 'patchouli', 'leather']","It smells like a sweet and tangy mix of citrus peel and candy apple, with a dry wood and pencil shavings dry down."
"['aldehydes', 'basil', 'citruses', 'ivy', 'mandarin orange', 'freesia', 'bergamot', 'carnation', 'marigold', 'coriander', 'orange blossom', 'lily', 'jasmine', 'bulgarian rose', 'lily-of-the-valley', 'sandalwood', 'vanilla', 'musk', 'tonka bean']","It smells like citrus peel, warm resin, and dry wood."
"['green apple', 'mint', 'lavender', 'grapefruit', 'basil', 'sage', 'geranium', 'carnation', 'jasmine', 'fir', 'cedar', 'patchouli']","It smells like a mix of crisp green apple and sweet mint at first, then dries down to a subtle blend of wet leaves and dry wood."
"['passionfruit', 'lime', 'pepper', 'ginger', 'vodka', 'gin', 'mint', 'spices', 'amber', 'leather', 'woodsy notes']","It smells like passionfruit, lime, and ginger at first, then warm resin and dry wood."
"['lavender', 'bitter orange', 'mint', 'clary sage', 'ambrette (musk mallow)', 'ambroxan']","It smells like dry wood and slightly sweet plastic at first, then warm resin and skin, finishing with a subtle hint of damp soil."
"['aldehydes', 'angelica', 'tea', 'mandarin orange', 'mate', 'ink', 'magnolia', 'nutmeg', 'west indian bay', 'coriander', 'caraway', 'cinnamon', 'incense', 'patchouli', 'cedar', 'vetiver', 'amber', 'labdanum']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['lemon', 'ginger', 'lavender', 'mint', 'apple', 'juniper', 'guatemalan cardamom', 'geranium', 'tonka bean', 'amberwood', 'haitian vetiver']","It smells like a burst of citrusy lemon, followed by a sweet and spicy blend of ginger and warm amberwood, finishing with a subtle hint of damp soil and dry wood."
"['sicilian lemon', 'lavender', 'dark chocolate', 'pelargonium leaf', 'lily-of-the-valley', 'honeysuckle', 'magnolia', 'musk', 'cashmere wood', 'teak wood', 'vetiver', 'amber']","It smells like a combination of sweet citrus, warm honey, and damp soil, with subtle hints of skin and dry wood."
"['melon', 'bergamot', 'mint', 'black currant', 'sea water', 'green apple', 'cappuccino', 'cardamom', 'nutmeg', 'amber', 'woodsy notes']",It smells like a sweet and tangy green apple with a hint of warm resin and dry wood.
"['aldehydes', 'myrrh', 'artemisia', 'thyme', 'clover', 'bergamot', 'gardenia', 'patchouli', 'sage', 'jasmine', 'cardamom', 'orris root', 'leather', 'oakmoss', 'musk', 'vetiver', 'sandalwood', 'amber', 'coconut']","It smells like warm resin, dry wood, and slightly sweet plastic, with hints of citrus peel and light florals."
"['apple', 'aldehydes', 'grapefruit', 'ginger', 'sage', 'lavender', 'geranium', 'tonka bean', 'cedar', 'olibanum', 'patchouli']","It smells like a sweet and tangy apple, followed by a warm resin aroma and a hint of dry wood."
"['bergamot', 'pink pepper', 'artemisia', 'lavender', 'iris', 'sage', 'suede', 'saffron', 'musk', 'caramel', 'haitian vetiver', 'patchouli']","It smells like bergamot and lavender at first, then suede and caramel, finally finishing with haitian vetiver and musk."
"['fir', 'lemon', 'orange', 'petitgrain', 'cardamom', 'sea notes', 'rosemary', 'lily-of-the-valley', 'jasmine', 'rose', 'sage', 'musk', 'vetiver', 'oakmoss', 'brazilian rosewood', 'sandalwood']","It smells like citrus peel, followed by a subtle sweetness of lily-of-the-valley, and finally settles into a dry wood and skin accord."
"['neroli', 'bergamot', 'black pepper', 'petitgrain', 'black pepper', 'lavender', 'cardamom', 'juniper berries', 'sage', 'vetiver', 'oakmoss', 'iris', 'leather', 'agarwood (oud)']","It smells like citrus peel and warm resin, then dry wood and slightly sweet plastic, with a subtle hint of damp soil and skin."
"['aldehydes', 'bergamot', 'ginger', 'mint', 'lemon', 'apple', 'violet leaf', 'pineapple', 'sage', 'geranium', 'ambergris', 'musk', 'cedar', 'balsam fir', 'incense', 'vetiver']","It smells like citrus peel, warm resin, and dry wood."
"['rosemary', 'clary sage', 'brazilian rosewood', 'lavender', 'geranium', 'tonka bean', 'oakmoss', 'honey', 'musk', 'amber', 'tobacco']","It smells like dry wood, slightly sweet plastic, and warm skin."
"['sea notes', 'bergamot', 'pear', 'apple', 'grapefruit', 'lemon', 'lavender', 'rosemary', 'geranium', 'woody notes', 'tonka bean', 'amberwood', 'patchouli', 'labdanum']","It smells like a combination of citrusy sea notes, warm resin, and slightly sweet plastic, with a subtle hint of wet leaves and dry wood."
"['wormwood', 'mint', 'basil', 'incense', 'lavender', 'rose', 'tobacco', 'leather', 'sandalwood', 'guaiac wood', 'vetiver', 'oak moss', 'amber', 'vanille', 'musk']","It smells like warm resin, dry wood, and skin."
